id,source,title,poster,year,director,actor,tagline,synopsis
dr-no,646-dr-no,Dr. No,dr-no.jpg,1962,Terence Young,Sean Connery,NOW meet the most extraordinary gentleman spy in all fiction!,"When Strangways, the British SIS Station Chief in Jamaica goes missing, MI6 send James Bond - Agent 007 to investigate. His investigation leads him to the mysterious Crab Key; the secret base of Dr No who he suspects is trying to sabotage the American space program using a radio beam. With the assistance of local fisherman Quarrel, who had been helping Strangways, Bond sneaks onto Crab Key where he meets the beautiful Honey Ryder. Can the three of them defeat an army of henchmen and a \""fire breathing dragon\"" in order to stop Dr No, save the space program and get revenge for Strangways? Dr. No is the first film of legendary James Bond series starring Sean Connery in the role of Fleming's British super agent."
from-russia-with-love,657-from-russia-with-love,From Russia With Love,from-russia-with-love.jpg,1963,Terence Young,Sean Connery,The world's masters of murder pull out all the stops to destroy Agent 007!,"Bond is back and on the loose in exotic Istanbul looking for a super-secret coding machine. He's involved with a beautiful Russian spy and has the SPECTRE organization after him, including villainess Rosa Klebb (she of the killer shoe). Lots of exciting escapes but not an overreliance on the gadgetry of the later films. The second Bond feature, thought by many to be the best."
goldfinger,658-goldfinger,Goldfinger,goldfinger.jpg,1964,Guy Hamilton,Sean Connery,Everything he touches turns into excitement!,"Bond is in Miami on holiday when M tells him to observe Auric Goldfinger. Bond steals Goldfinger's girlfriend, Jill Masterson, but after being knocked out, he awakes to find her dead and covered in gold paint. Upon returning to London, Bond is told to further investigate Goldfinger who is believed to be smuggling gold out of Britain, but warned he will be replaced if he turns the mission into a personal vendetta. After failing to befriend Goldfinger, Bond is caught spying and taken to America as a captive. Bond learns of Goldfinger's plan, codenamed Operation Grand Slam, which involves attacking Fort Knox to increase his gold riches. Can 007 find a way to stop Goldfinger despite being held prisoner? This is the third film from the legendary James Bond series starring Sean Connery as the British super agent."
thunderball,660-thunderball,Thunderball,thunderball.jpg,1965,Terence Young,Sean Connery,Look up! Look down! Look out!,A criminal organization has obtained two nuclear bombs and are asking for a 100 million pound ransom in the form of diamonds in seven days or they will use the weapons. The secret service sends James Bond to the Bahamas to once again save the world.
casino-royale-a,12208-casino-royale,Casino Royale,casino-royale-a.jpg,1967,Val Guest,David Niven,,"Sir James Bond is called back out of retirement to stop SMERSH. In order to trick SMERSH, Bond thinks up the ultimate plan. That every agent will be named James Bond. One of the Bonds, whose real name is Evelyn Tremble is sent to take on Le Chiffre in a game of baccarat, but all the Bonds get more than they can handle, especially when the ultimate villain turns out to be Bonds nephew."
you-only-live-twice,667-you-only-live-twice,You Only Live Twice,you-only-live-twice.jpg,1967,Lewis Gilbert,Sean Connery,"You Only Live Twice...and \""TWICE\"" is the only way to live!",A mysterious space craft kidnaps a Russian and American space capsule and brings the world on the verge of another World War. James Bond investigates the case in Japan and meets with his archenemy Blofeld. The fifth film from the legendary James Bond series starring Sean Connery as the British super agent.
on-her-majestys-secret-service,668-on-her-majesty-s-secret-service,On Her Majesty's Secret Service,on-her-majestys-secret-service.jpg,1969,Peter R. Hunt,George Lazenby,Far up! Far out! Far more! James Bond 007 is back!,"Bond tracks archnemesis Ernst Blofeld to a mountaintop retreat where he's training an army of beautiful but lethal women. Along the way, Bond falls for Italian contessa Tracy Draco -- and marries her in order to get closer to Blofeld. Meanwhile, he locates Blofeld in the Alps and embarks on a classic ski chase."
diamonds-are-forever,681-diamonds-are-forever,Diamonds Are Forever,diamonds-are-forever.jpg,1971,Guy Hamilton,Sean Connery,Bond is back...with the girls,Diamonds are stolen only to be sold again in the international market. James Bond infiltrates a smuggling mission to find out who’s guilty. The mission takes him to Las Vegas where Bond meets his archenemy Blofeld. The seventh film from the Legendary James Bond series starring Sean Connery as a British super agent.
live-and-let-die,253-live-and-let-die,Live and Let Die,live-and-let-die.jpg,1973,Guy Hamilton,Roger Moore,Roger M007re is James Bond.,James Bond must investigate a mysterious murder case of a British agent in New York. Soon he finds himself up against a big gangster boss named Mr. Big. This the eight film of the James Bond series and the first one to star Roger Moore as the British undercover agent 007.
the-man-with-the-golden-gun,682-the-man-with-the-golden-gun,The Man with the Golden Gun,the-man-with-the-golden-gun.jpg,1974,Guy Hamilton,Roger Moore,The man with the golden gun is ready to assassinate James Bond.,A golden bullet has 007 engraved on it as it smashes into the secret service headquarters. The bullet came from the professional killer Scaramanga who has yet to miss a target and James Bond begins a mission to try and stop him. The ninth film from the Legendary James Bond series starring Roger Moore as a British super agent.
the-spy-who-loved-me,691-the-spy-who-loved-me,The Spy Who Loved Me,the-spy-who-loved-me.jpg,1977,Lewis Gilbert,Roger Moore,It's the BIGGEST. It's the BEST. It's BOND. And B-E-Y-O-N-D.,Russian and American submarines with nuclear missels on board both vanish from sight without a trace. America and Russia both blame each other as James Bond tries to solve the riddle of the disappearing ships. But the KGB also has an agent on the case. The tenth film from the Legendary James Bond series starring Roger Moore as a British super agent.
moonraker,698-moonraker,Moonraker,moonraker.jpg,1979,Lewis Gilbert,Roger Moore,Outer space now belongs to 007.,During the transportation of a Space Shuttle a Boeing 747 crashes in the Atlantic Ocean yet when they go to look for the destroyed shuttle it is not there. James bond investigates the missing mission space shuttle and soon learns that the shuttles owner Hugo Drax wants to kill all of mankind. The showdown is about to take place in outer space. The eleventh film from the Legendary James Bond series
for-your-eyes-only,699-for-your-eyes-only,For Your Eyes Only,for-your-eyes-only.jpg,1981,John Glen,Roger Moore,"No one comes close to James Bond, 007.",A British spy ship has sunk and on board was a hi-tech encryption device. James Bond is sent to find the device that holds British launching instructions before the enemy Soviets get to it first. The twelfth film from the Legendary James Bond series starring Roger Moore as a British super agent.
never-say-never-again,36670-never-say-never-again,Never Say Never Again,never-say-never-again.jpg,1983,Irvin Kershner,Sean Connery,Sean Connery is James Bond 007,"James Bond returns as the secret agent 007 one more time to battle the evil organization SPECTRE. Bond must defeat Largo, who has stolen two atomic warheads for nuclear blackmail. But Bond has an ally in Largo's girlfriend, the willowy Domino, who falls for Bond and seeks revenge. This is the last time for Sean Connery as Her Majesty's Secret Agent 007."
octopussy,700-octopussy,Octopussy,octopussy.jpg,1983,John Glen,Roger Moore,Nobody does him better.,James Bond is sent to investigate after a fellow “00” agent is found dead with a priceless Farberge egg. James bond follows the mystery and uncovers a smuggling scandal and a Russian General who wants to provoke a new World War. The 13th film from the Legendary James Bond series starring Roger Moore as a British super agent.
a-view-to-a-kill,707-a-view-to-a-kill,A View to a Kill,a-view-to-a-kill.jpg,1985,John Glen,Roger Moore,Has James Bond finally met his match?,A newly developed microchip designed by Zorin Industries for the British Government that can survive the electromagnetic radiation caused by a nuclear explosion has landed in the hands of the KGB. James Bond must find out how and why. His suspicions soon lead him to big industry leader Max Zorin. The 14th film from the Legendary James Bond series starring Roger Moore as a British super agent.
the-living-daylights,708-the-living-daylights,The Living Daylights,the-living-daylights.jpg,1987,John Glen,Timothy Dalton,Licensed to thrill.,James Bond helps a Russian General escape into the west. He soon finds out that the KGB wants to kill him for helping the General. A little while later the General is kidnapped from the Secret Service leading 007 to be suspicious. The 15th film from the Legendary James Bond series starring Timothy Dalton as a British super agent.
licence-to-kill,709-licence-to-kill,Licence to Kill,licence-to-kill.jpg,1989,John Glen,Timothy Dalton,His bad side is a dangerous place to be.,James Bond and his American colleague Felix Leiter arrest the drug lord Sanchez who succeeds in escaping and takes revenge on Felix and his wife. Bond knows but just one thing: revenge. The 16th film from the Legendary James Bond series starring Timothy Dalton as a British super agent.
goldeneye,710-goldeneye,Goldeneye,goldeneye.jpg,1995,Martin Campbell,Pierce Brosnan,"When the world is the target and the threat is real, you can still depend on one man.",James Bond must unmask the mysterious head of the Janus Syndicate and prevent his one time ally - Alec Trevelyan Agent 006 - from utilising the GoldenEye weapons system to inflict devastating revenge on Britain. --- The 17th film from the legendary James Bond series and the first starring Pierce Brosnan.
